"","k_total_mean","k_total_disp","k_cancer_mean","k_cancer_disp","k_normal_mean","k_normal_disp"
"SPON2|10417",3190.29166666667,1.0538937311712,4845.81944444444,1.11007424869922,1534.76388888889,0.897320958745551
"SPOPL|339745",2467.29166666667,0.104610923823815,2629.38888888889,0.147875030703468,2305.19444444444,0.0727788726097736
"SPOP|8405",3145.54861111111,0.02769712988296,3194.72222222222,0.0487331037388313,3096.375,0.0262900294889828
"SPP1|6696",120069.833333333,0.498483418823494,106943.527777778,0.531934358425358,133196.138888889,0.425063459652956
"SPPL2A|84888",2828.75,0.0752802237403123,2284.27777777778,0.103356695301131,3373.22222222222,0.0644367659501534
"SPPL2B|56928",1872.56944444444,0.153143177989212,2110.55555555556,0.244664009936825,1634.58333333333,0.0650379912537568
"SPPL3|121665",3481.15277777778,0.0353841560871975,3482.5,0.0613286209516671,3479.80555555556,0.0298950713300277
"SPRED1|161742",3847.70138888889,0.132421757721771,4666.18055555556,0.148801955949445,3029.22222222222,0.120611726948276
"SPRED2|200734",2702.31944444444,0.097518386804746,2825.66666666667,0.133876323940261,2578.97222222222,0.0725491405360346
"SPRN|503542",179.833333333333,0.140308568422661,159.861111111111,0.237897834757556,199.805555555556,0.115871381658789
"SPRY1|10252",4358.48611111111,0.303059151442083,6110.27777777778,0.342388437259093,2606.69444444444,0.244202324249546
"SPRY2|10253",1949.68055555556,0.199847464806123,1673.58333333333,0.25516521093409,2225.77777777778,0.146306294454021
"SPRY3|10251",207.451388888889,0.126493719043821,189.055555555556,0.226366000459241,225.847222222222,0.0948297179746316
"SPRY4|81848",5094.45833333333,0.183745959272801,7169.43055555556,0.229667212138513,3019.48611111111,0.135830905266475
"SPRYD3|84926",4296.48611111111,0.0578839558774989,3702.63888888889,0.0899694929355853,4890.33333333333,0.042223140662139
"SPRYD4|283377",1411.04166666667,0.0977848808532204,1063.375,0.130208652480902,1758.70833333333,0.0904163943103946
"SPR|6697",3320.27083333333,0.136237756350459,3092.88888888889,0.204164623863012,3547.65277777778,0.0747918565262447
"SPSB1|80176",1917.1875,0.427801887075186,2664.66666666667,0.500892363114364,1169.70833333333,0.323292812934587
"SPSB2|84727",433.993055555556,0.235153433929161,411.305555555556,0.380539134224813,456.680555555556,0.118141640411554
"SPSB3|90864",1761.19444444444,0.126760623198945,1761.55555555556,0.197112721449204,1760.83333333333,0.0690716886529727
"SPSB4|92369",56.1944444444444,1.75312681761427,40.875,2.99703596980992,71.5138888888889,0.419082247853725
"SPTAN1|6709",22276.1597222222,0.107586208592176,18379.6805555556,0.155847672037821,26172.6388888889,0.0681327788082448
"SPTBN1|6711",47591.3263888889,0.125892615818049,43912.3333333333,0.186198237704132,51270.3194444444,0.0732729684564959
"SPTBN2|6712",9179.07638888889,1.69398292102599,657.111111111111,2.66625742616478,17701.0416666667,0.437850690404593
"SPTBN4|57731",99.5,0.731438825234681,77.1111111111111,1.07771492788007,121.888888888889,0.396147580644725
"SPTBN5|51332",76.2361111111111,0.553663984995279,68.8194444444444,0.797028527106361,83.6527777777778,0.348617569788176
"SPTB|6710",682.909722222222,0.35782653353164,236.125,0.536470057459684,1129.69444444444,0.210848001503522
"SPTLC1|10558",5230.78472222222,0.0655137283737623,4530.55555555556,0.0997013597258928,5931.01388888889,0.0483691168481344
"SPTLC2|9517",7023.29166666667,0.126416856237065,5387.41666666667,0.168892280789058,8659.16666666667,0.0917462368344598
"SPTLC3|55304",2390.09722222222,0.248612671561677,2571.51388888889,0.372248532521955,2208.68055555556,0.112691401725377
"SPTY2D1|144108",3009.25694444444,0.0697741956183955,2670.58333333333,0.109368434637964,3347.93055555556,0.047400618335555
"SQLE|6713",1488.36111111111,0.147673828750683,1115.41666666667,0.197882401317701,1861.30555555556,0.113224970565339
"SQRDL|58472",4209.36111111111,0.0889111271821011,5967.30555555556,0.112673460477373,2451.41666666667,0.0752564831394478
"SQSTM1|8878",29475.3402777778,0.136092558649437,37304.8472222222,0.21657605875976,21645.8333333333,0.0593637085284068
"SR140|23350",4578.08333333333,0.0812327995089977,4770.16666666667,0.124653991003139,4386,0.0538505075671815
"SRA1|10011",1645.02777777778,0.136495417263454,1787.125,0.229720053828677,1502.93055555556,0.0481739861947207
"SRBD1|55133",1213.11805555556,0.0576278565797811,1244.54166666667,0.101781580665921,1181.69444444444,0.0368781200514501
"SRCAP|10847",7774.22916666667,0.0731216444741383,7594.18055555556,0.09357349307236,7954.27777777778,0.0677812091914989
"SRCIN1|80725",110.638888888889,0.721180570637959,132.736111111111,0.816343928781363,88.5416666666667,0.640854863285651
"SRCRB4D|136853",303.284722222222,0.398246056525412,84.7222222222222,0.635802313179142,521.847222222222,0.21168347114776
"SRC|6714",3030.55555555556,0.105275830886607,3119.01388888889,0.17559645452797,2942.09722222222,0.0401019366606625
"SRD5A1|6715",957.666666666667,0.143852295180946,1064.65277777778,0.221536713799173,850.680555555556,0.0816490627058771
"SRD5A2|6716",14.5486111111111,1.81066199881741,7.51388888888889,1.89925991477224,21.5833333333333,1.68487858812141
"SRD5A3|79644",1245.53472222222,0.108387490749444,1575.51388888889,0.125119767728879,915.555555555556,0.10659522961521
"SREBF1|6720",3925.09027777778,0.240190003532631,4807.13888888889,0.294586124147459,3043.04166666667,0.180073094561052
"SREBF2|6721",9086.83333333333,0.111109857907081,5108.06944444444,0.131110199475524,13065.5972222222,0.10143714868355
"SRFBP1|153443",805.805555555556,0.0836409050445955,781.347222222222,0.14804047482533,830.263888888889,0.0537860831022845
"SRF|6722",3588.38194444444,0.235360717192719,3363.51388888889,0.175453455214527,3813.25,0.286719819759396
"SRGAP1|57522",1246.45138888889,0.155345423786141,1251.63888888889,0.207484275517214,1241.26388888889,0.112005105413793
"SRGAP2|23380",2918.80555555556,0.117937390180224,3069.81944444444,0.113329394262243,2767.79166666667,0.129292035584484
"SRGAP3|9901",1063.27083333333,0.33914050158091,267.722222222222,0.414250394850291,1858.81944444444,0.30230714457512
"SRGN|5552",7028.53472222222,0.261513665042066,8629.98611111111,0.226722418627325,5427.08333333333,0.281410559648402
"SRI|6717",5338.3125,0.0875507267321468,5043.16666666667,0.124262489878284,5633.45833333333,0.0642502165837188
"SRL|6345",319.819444444444,0.447092305026595,117.666666666667,0.48007718081072,521.972222222222,0.450860430284639
